Country,Market Year,Calendar Year,Month,Beginning Stocks,CY Exp. to U.S.,CY Exports,CY Imp. from U.S.,CY Imports,Crush,Ending Stocks,"Extr. Rate, 999.9999",Feed Waste Dom. Cons.,Food Use Dom. Cons.,Industrial Dom. Cons.,MY Exp. to EU,MY Exports,MY Imp. from EU,MY Imp. from U.S.,MY Imports,Production,SME,Total Distribution,Total Dom. Cons.,Total Supply
WORLD,1964,2024,1,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,82.041,132.0,132.0,132.0
WORLD,1965,2024,1,0.0,0.0,0.0,0.0,219.0,0.0,0.0,0.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,146.073,244.0,244.0,244.0
WORLD,1966,2024,1,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,0.0,166.75,276.0,276.0,276.0
WORLD,1967,2024,1,0.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,139.403,228.0,228.0,228.0
WORLD,1968,2024,1,0.0,0.0,1.0,0.0,184.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,1.0,0.0,0.0,184.0,0.0,122.061,184.0,183.0,184.0
WORLD,1969,2024,1,0.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,131.399,197.0,197.0,197.0
WORLD,1970,2024,1,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,86.71,130.0,130.0,130.0
WORLD,1971,2024,1,0.0,0.0,2.0,0.0,110.0,48.0,0.0,0.4792,140.0,0.0,0.0,0.0,2.0,0.0,0.0,119.0,23.0,93.38,142.0,140.0,142.0
WORLD,1972,2024,1,68.0,0.0,425.0,2.0,440.0,8517.0,102.0,0.4422,3870.0,0.0,6.0,0.0,407.0,0.0,0.0,443.0,3766.0,2581.29,4277.0,3768.0,4277.0
WORLD,1973,2024,1,102.0,0.0,353.0,0.0,408.0,10419.0,107.0,0.4432,4747.0,0.0,6.0,0.0,377.0,0.0,0.0,418.0,4618.0,3166.249,5138.0,4654.0,5138.0
WORLD,1974,2024,1,107.0,0.0,259.0,2.0,338.0,8974.0,56.0,0.4451,4223.0,0.0,6.0,0.0,250.0,0.0,0.0,338.0,3994.0,2816.741,4439.0,4133.0,4439.0
WORLD,1975,2024,1,56.0,0.0,365.0,7.0,375.0,8534.0,53.0,0.4395,3825.0,0.0,6.0,0.0,401.0,0.0,0.0,374.0,3751.0,2551.275,4181.0,3727.0,4181.0
WORLD,1976,2024,1,53.0,0.0,476.0,4.0,497.0,8872.0,57.0,0.4421,4066.0,0.0,6.0,0.0,476.0,0.0,0.0,520.0,3922.0,2712.022,4495.0,3962.0,4495.0
WORLD,1977,2024,1,57.0,0.0,706.0,23.0,705.0,10606.0,100.0,0.4535,4932.0,0.0,8.0,0.0,648.0,0.0,0.0,703.0,4810.0,3289.644,5570.0,4822.0,5570.0
WORLD,1978,2024,1,100.0,0.0,798.0,18.0,755.0,11309.0,123.0,0.4543,5051.0,0.0,11.0,0.0,843.0,0.0,0.0,791.0,5138.0,3369.017,6029.0,5063.0,6029.0
WORLD,1979,2024,1,123.0,0.0,849.0,56.0,913.0,12425.0,133.0,0.4617,5755.0,0.0,14.0,0.0,860.0,0.0,0.0,903.0,5737.0,3838.585,6763.0,5770.0,6763.0
WORLD,1980,2024,1,133.0,0.0,761.0,93.0,860.0,11780.0,150.0,0.4686,5601.0,0.0,37.0,0.0,737.0,0.0,0.0,872.0,5520.0,3735.867,6525.0,5638.0,6525.0
WORLD,1981,2024,1,150.0,0.0,876.0,60.0,1008.0,12612.0,137.0,0.4596,5777.0,0.0,55.0,0.0,922.0,0.0,0.0,945.0,5796.0,3853.259,6891.0,5832.0,6891.0
WORLD,1982,2024,1,137.0,0.0,1311.0,211.0,1494.0,14057.0,114.0,0.4737,6719.0,0.0,53.0,0.0,1321.0,0.0,0.0,1411.0,6659.0,4481.573,8207.0,6772.0,8207.0
WORLD,1983,2024,1,114.0,0.0,1180.0,28.0,1191.0,13622.0,122.0,0.4673,6295.0,0.0,53.0,0.0,1246.0,0.0,0.0,1237.0,6365.0,4198.765,7716.0,6348.0,7716.0
WORLD,1984,2024,1,122.0,0.0,1685.0,104.0,1676.0,15632.0,203.0,0.4651,7031.0,0.0,70.0,0.0,1677.0,0.0,0.0,1589.0,7270.0,4689.677,8981.0,7101.0,8981.0
WORLD,1985,2024,1,203.0,0.0,2028.0,49.0,1816.0,16581.0,178.0,0.4583,7422.0,0.0,71.0,0.0,1903.0,0.0,0.0,1772.0,7599.0,4950.474,9574.0,7493.0,9574.0
WORLD,1986,2024,1,178.0,0.0,1539.0,53.0,1389.0,16223.0,213.0,0.4401,7050.0,0.0,63.0,3.0,1493.0,176.0,0.0,1502.0,7139.0,4702.35,8819.0,7113.0,8819.0
WORLD,1987,2024,1,213.0,0.0,1615.0,56.0,1425.0,18194.0,164.0,0.4449,7985.0,0.0,50.0,377.0,1624.0,381.0,43.0,1515.0,8095.0,5325.995,9823.0,8035.0,9823.0
WORLD,1988,2024,1,164.0,2.0,1865.0,38.0,1708.0,17971.0,245.0,0.4488,7670.0,0.0,50.0,372.0,1893.0,395.0,13.0,1628.0,8066.0,5115.89,9858.0,7720.0,9858.0
WORLD,1989,2024,1,245.0,1.0,2141.0,4.0,1905.0,19134.0,238.0,0.4441,8099.0,0.0,288.0,371.0,1986.0,437.0,7.0,1868.0,8498.0,5402.033,10611.0,8387.0,10611.0
WORLD,1990,2024,1,238.0,2.0,2335.0,23.0,1988.0,20156.0,258.0,0.4521,8560.0,0.0,291.0,540.0,2259.0,585.0,19.0,2018.0,9112.0,5709.52,11368.0,8851.0,11368.0
WORLD,1991,2024,1,258.0,1.0,1765.0,9.0,266.0,19321.0,195.0,0.4568,8729.0,0.0,58.0,4.0,1722.0,0.0,7.0,1620.0,8826.0,5822.243,10704.0,8787.0,10704.0
WORLD,1992,2024,1,195.0,2.0,1510.0,5.0,192.0,18675.0,219.0,0.4635,8355.0,0.0,55.0,0.0,1446.0,1.0,12.0,1224.0,8656.0,5572.785,10075.0,8410.0,10075.0
WORLD,1993,2024,1,219.0,5.0,1662.0,6.0,186.0,17976.0,193.0,0.4683,8265.0,2.0,75.0,8.0,1738.0,2.0,11.0,1635.0,8419.0,5512.755,10273.0,8342.0,10273.0
WORLD,1994,2024,1,193.0,1.0,571.0,5.0,198.0,20756.0,298.0,0.4687,9192.0,1.0,77.0,10.0,2433.0,1.0,26.0,2079.0,9729.0,6131.064,12001.0,9270.0,12001.0
WORLD,1995,2024,1,298.0,2.0,2264.0,2.0,168.0,22708.0,494.0,0.4586,10029.0,1.0,80.0,1762.0,2271.0,2.0,3.0,2163.0,10414.0,6689.343,12875.0,10110.0,12875.0
WORLD,1996,2024,1,494.0,1.0,2343.0,1.0,79.0,21702.0,268.0,0.468,10159.0,2.0,78.0,1862.0,2392.0,2.0,4.0,2249.0,10156.0,6776.053,12899.0,10239.0,12899.0
