Country,Market Year,Calendar Year,Month,Beginning Stocks,CY Exp. to U.S.,CY Exports,CY Imp. from U.S.,CY Imports,Crush,Ending Stocks,"Extr. Rate, 999.9999",Feed Waste Dom. Cons.,Food Use Dom. Cons.,Industrial Dom. Cons.,MY Exp. to EU,MY Exports,MY Imp. from EU,MY Imp. from U.S.,MY Imports,Production,Total Distribution,Total Dom. Cons.,Total Supply
WORLD,2014,2024,1,202.0,11.0,152.0,32.0,92.0,33667.0,230.0,0.1514,0.0,4710.0,289.0,0.0,147.0,0.0,26.0,76.0,5098.0,5376.0,4999.0,5376.0
WORLD,2015,2024,1,230.0,0.0,54.0,25.0,71.0,28596.0,150.0,0.1515,0.0,4124.0,277.0,0.0,72.0,0.0,17.0,61.0,4332.0,4623.0,4401.0,4623.0
WORLD,2016,2024,1,150.0,0.0,93.0,27.0,63.0,28822.0,162.0,0.1519,0.0,4053.0,270.0,0.0,97.0,0.0,30.0,55.0,4377.0,4582.0,4323.0,4582.0
WORLD,2017,2024,1,162.0,0.0,119.0,32.0,84.0,33048.0,214.0,0.1515,0.0,4659.0,290.0,0.0,96.0,0.0,32.0,91.0,5006.0,5259.0,4949.0,5259.0
WORLD,2018,2024,1,214.0,0.0,128.0,30.0,96.0,31599.0,204.0,0.1501,0.0,4434.0,325.0,0.0,100.0,0.0,31.0,106.0,4743.0,5063.0,4759.0,5063.0
WORLD,2019,2024,1,204.0,0.0,123.0,26.0,89.0,33319.0,222.0,0.1506,0.0,4513.0,490.0,0.0,115.0,0.0,28.0,117.0,5019.0,5340.0,5003.0,5340.0
WORLD,2020,2024,1,222.0,0.0,120.0,23.0,95.0,32578.0,196.0,0.1497,0.0,4383.0,523.0,0.0,97.0,0.0,23.0,99.0,4878.0,5199.0,4906.0,5199.0
WORLD,2021,2024,1,196.0,0.0,147.0,12.0,96.0,32174.0,158.0,0.1506,0.0,4394.0,474.0,0.0,125.0,0.0,12.0,108.0,4847.0,5151.0,4868.0,5151.0
WORLD,2022,2024,1,158.0,0.0,142.0,20.0,86.0,32598.0,176.0,0.1505,0.0,4415.0,461.0,0.0,107.0,0.0,21.0,96.0,4905.0,5159.0,4876.0,5159.0
WORLD,2023,2024,1,176.0,0.0,113.0,21.0,85.0,32770.0,154.0,0.1508,0.0,4358.0,596.0,0.0,94.0,0.0,21.0,84.0,4942.0,5202.0,4954.0,5202.0
