Country,Market Year,Calendar Year,Month,Beginning Stocks,CY Exp. to U.S.,CY Exports,CY Imp. from U.S.,CY Imports,Crush,Ending Stocks,"Extr. Rate, 999.9999",Feed Waste Dom. Cons.,Food Use Dom. Cons.,Industrial Dom. Cons.,MY Exp. to EU,MY Exports,MY Imp. from EU,MY Imp. from U.S.,MY Imports,Production,SME,Total Distribution,Total Dom. Cons.,Total Supply
Algeria,1964,2006,6,0.0,0.0,29.0,0.0,0.0,59.0,0.0,5932.0,6.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,35.0,4.269,35.0,6.0,35.0
Algeria,1965,2006,6,0.0,0.0,25.0,0.0,0.0,54.0,0.0,5926.0,7.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,32.0,4.9805,32.0,7.0,32.0
Algeria,1966,2006,6,0.0,0.0,19.0,0.0,0.0,54.0,0.0,5926.0,13.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,32.0,9.2495,32.0,13.0,32.0
Algeria,1967,2006,6,0.0,0.0,25.0,0.0,0.0,44.0,0.0,5909.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,26.0,0.7115,26.0,1.0,26.0
Algeria,1968,2006,6,0.0,0.0,20.0,0.0,0.0,35.0,0.0,6000.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,21.0,0.7115,21.0,1.0,21.0
Algeria,1969,2006,6,0.0,0.0,27.0,0.0,0.0,58.0,0.0,5862.0,7.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,34.0,4.9805,34.0,7.0,34.0
Algeria,1970,2006,6,0.0,0.0,26.0,0.0,0.0,45.0,0.0,6000.0,1.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,27.0,0.7115,27.0,1.0,27.0
Algeria,1971,2006,6,0.0,0.0,33.0,0.0,0.0,62.0,0.0,5968.0,4.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,37.0,2.846,37.0,4.0,37.0
Algeria,1972,2006,6,0.0,0.0,23.0,0.0,0.0,46.0,0.0,5870.0,4.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,27.0,2.846,27.0,4.0,27.0
Algeria,1973,2006,6,0.0,0.0,25.0,0.0,0.0,44.0,0.0,5909.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,26.0,0.7115,26.0,1.0,26.0
Algeria,1974,2006,6,0.0,0.0,28.0,0.0,0.0,97.0,0.0,5876.0,29.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,57.0,20.6335,57.0,29.0,57.0
Algeria,1975,2006,6,0.0,0.0,32.0,0.0,0.0,64.0,0.0,5938.0,6.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,38.0,4.269,38.0,6.0,38.0
Algeria,1976,2006,6,0.0,0.0,26.0,0.0,0.0,86.0,0.0,5930.0,27.0,0.0,0.0,0.0,26.0,0.0,0.0,2.0,51.0,19.2105,53.0,27.0,53.0
Algeria,1977,2006,6,0.0,0.0,25.0,0.0,0.0,80.0,0.0,5875.0,22.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,47.0,15.653,47.0,22.0,47.0
Algeria,1978,2006,6,0.0,0.0,35.0,0.0,0.0,68.0,0.0,6029.0,6.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,41.0,4.269,41.0,6.0,41.0
Algeria,1979,2006,6,0.0,0.0,24.0,0.0,0.0,71.0,0.0,6056.0,19.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,43.0,13.5185,43.0,19.0,43.0
Algeria,1980,2006,6,0.0,0.0,11.0,0.0,0.0,69.0,0.0,5942.0,30.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,41.0,21.345,41.0,30.0,41.0
Algeria,1981,2006,6,0.0,0.0,1.0,0.0,0.0,27.0,0.0,5926.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,10.6725,16.0,15.0,16.0
Algeria,1982,2006,6,0.0,0.0,3.0,0.0,0.0,23.0,0.0,5652.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,13.0,7.115,13.0,10.0,13.0
Algeria,1983,2006,6,0.0,0.0,0.0,0.0,0.0,14.0,0.0,5714.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.692,8.0,8.0,8.0
Algeria,1986,2006,6,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1987,2006,6,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,1964,2006,6,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Argentina,1965,2006,6,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Argentina,1966,2006,6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7115,1.0,1.0,1.0
Argentina,1967,2006,6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7115,1.0,1.0,1.0
Argentina,1968,2006,6,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Argentina,1969,2006,6,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Argentina,1970,2006,6,0.0,0.0,1.0,0.0,0.0,4.0,0.0,5000.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.7115,2.0,1.0,2.0
Argentina,1971,2006,6,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Argentina,1972,2006,6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7115,1.0,1.0,1.0
Argentina,1973,2006,6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7115,1.0,1.0,1.0
Argentina,1974,2006,6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7115,1.0,1.0,1.0
Argentina,1975,2006,6,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Argentina,1976,2006,6,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Argentina,1977,2006,6,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.1345,3.0,3.0,3.0
Argentina,1978,2006,6,0.0,0.0,3.0,0.0,0.0,15.0,0.0,5333.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,3.5575,8.0,5.0,8.0
Argentina,1979,2006,6,0.0,0.0,5.0,0.0,0.0,23.0,0.0,5652.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,13.0,5.692,13.0,8.0,13.0
Argentina,1980,2006,6,0.0,0.0,1.0,0.0,0.0,5.0,0.0,6000.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.423,3.0,2.0,3.0
Argentina,1981,2006,6,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.1345,3.0,3.0,3.0
Argentina,2005,2016,5,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.5455,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,4.269,7.0,6.0,7.0
