Country,Market Year,Calendar Year,Month,Beginning Stocks,CY Exp. to U.S.,CY Exports,CY Imp. from U.S.,CY Imports,Crush,Ending Stocks,"Extr. Rate, 999.9999",Feed Waste Dom. Cons.,Food Use Dom. Cons.,Industrial Dom. Cons.,MY Exp. to EU,MY Exports,MY Imp. from EU,MY Imp. from U.S.,MY Imports,Production,Total Distribution,Total Dom. Cons.,Total Supply
WORLD,2014,2024,1,4140.0,142.0,12003.0,915.0,11012.0,265279.0,4668.0,0.1861,128.0,39272.0,8390.0,283.0,11191.0,1005.0,922.0,10147.0,49362.0,63649.0,47790.0,63649.0
WORLD,2015,2024,1,4668.0,131.0,11670.0,1037.0,11408.0,275825.0,4115.0,0.1873,135.0,42956.0,9022.0,306.0,11834.0,902.0,939.0,11740.0,51654.0,68062.0,52113.0,68062.0
WORLD,2016,2024,1,4136.0,138.0,10947.0,1089.0,10850.0,288463.0,4349.0,0.187,110.0,43755.0,9671.0,271.0,11452.0,960.0,1174.0,11254.0,53947.0,69337.0,53536.0,69337.0
WORLD,2017,2024,1,4349.0,164.0,10873.0,1050.0,9938.0,295660.0,4416.0,0.187,110.0,43869.0,10433.0,307.0,10780.0,1054.0,1070.0,9965.0,55294.0,69608.0,54412.0,69608.0
WORLD,2018,2024,1,4416.0,169.0,11722.0,925.0,11735.0,299194.0,4904.0,0.1877,110.0,44090.0,11103.0,376.0,11473.0,1022.0,865.0,11119.0,56145.0,71680.0,55303.0,71680.0
WORLD,2019,2024,1,4904.0,132.0,12297.0,1231.0,12297.0,312656.0,5520.0,0.1873,105.0,45796.0,11193.0,430.0,12384.0,918.0,1292.0,11543.0,58551.0,74998.0,57094.0,74998.0
WORLD,2020,2024,1,5520.0,148.0,13104.0,720.0,12800.0,316036.0,5531.0,0.1877,80.0,47182.0,11224.0,370.0,12611.0,1142.0,789.0,11794.0,59314.0,76628.0,58486.0,76628.0
WORLD,2021,2024,1,5531.0,131.0,12080.0,670.0,11445.0,314503.0,4793.0,0.1885,65.0,47283.0,11876.0,352.0,12322.0,1168.0,729.0,11537.0,59271.0,76339.0,59224.0,76339.0
WORLD,2022,2024,1,4793.0,142.0,11572.0,231.0,10413.0,313912.0,4958.0,0.1883,60.0,45585.0,12439.0,210.0,11525.0,861.0,196.0,10653.0,59121.0,74567.0,58084.0,74567.0
WORLD,2023,2024,1,4958.0,142.0,11491.0,186.0,11018.0,329396.0,5343.0,0.188,70.0,46958.0,13747.0,216.0,11525.0,1109.0,188.0,10773.0,61912.0,77643.0,60775.0,77643.0
