Country,Market Year,Calendar Year,Month,Area Harvested,Area Planted,Beginning Stocks,CY Exp. to U.S.,CY Exports,CY Imp. from U.S.,CY Imports,Crush,Ending Stocks,Feed Waste Dom. Cons.,Food Use Dom. Cons.,MY Exp. to EU,MY Exports,MY Imp. from EU,MY Imp. from U.S.,MY Imports,Production,Total Distribution,Total Dom. Cons.,Total Supply,Yield
Argentina,2014,2019,2,19350.0,19400.0,21677.0,36.0,11650.0,0.0,2.0,40235.0,27069.0,5250.0,0.0,60.0,10575.0,0.0,0.0,2.0,61450.0,83129.0,45485.0,83129.0,3.1757
Argentina,2015,2021,5,19350.0,19700.0,27069.0,55.0,8945.0,0.0,854.0,43267.0,27156.0,6200.0,0.0,60.0,9922.0,0.0,0.0,676.0,58800.0,86545.0,49467.0,86545.0,3.0388
Argentina,2016,2021,5,17335.0,17500.0,27156.0,90.0,7401.0,0.0,1905.0,43309.0,26996.0,6500.0,0.0,60.0,7025.0,0.0,0.0,1674.0,55000.0,83830.0,49809.0,83830.0,3.1728
Argentina,2017,2023,6,16300.0,16500.0,26996.0,25.0,3691.0,1495.0,6443.0,36933.0,23734.0,6700.0,0.0,0.0,2132.0,0.0,204.0,4703.0,37800.0,69499.0,43633.0,69499.0,2.319
Argentina,2018,2023,6,16600.0,16600.0,23734.0,73.0,10241.0,713.0,4548.0,40567.0,28890.0,6881.0,0.0,0.0,9104.0,0.0,2004.0,6408.0,55300.0,85442.0,47448.0,85442.0,3.3313
Argentina,2019,2023,6,16700.0,16700.0,28890.0,74.0,6818.0,2.0,5317.0,38770.0,26650.0,7148.0,0.0,0.0,10004.0,0.0,1.0,4882.0,48800.0,82572.0,45918.0,82572.0,2.9222
Argentina,2020,2023,6,16470.0,16600.0,26650.0,95.0,5400.0,1.0,4866.0,40162.0,25060.0,7249.0,0.0,0.0,5195.0,0.0,2.0,4816.0,46200.0,77666.0,47411.0,77666.0,2.8051
Argentina,2021,2023,6,15900.0,16500.0,25060.0,128.0,5522.0,1.0,3311.0,38825.0,23903.0,7210.0,0.0,0.0,2861.0,0.0,1.0,3839.0,43900.0,72799.0,46035.0,72799.0,2.761
Argentina,2022,2023,11,14400.0,17000.0,23903.0,100.0,4100.0,25.0,10000.0,30318.0,17209.0,6250.0,0.0,0.0,4185.0,0.0,25.0,9059.0,25000.0,57962.0,36568.0,57962.0,1.7361
Argentina,2023,2024,1,16500.0,16500.0,17209.0,100.0,5500.0,1.0,6000.0,35500.0,25959.0,7250.0,0.0,0.0,4600.0,0.0,1.0,6100.0,50000.0,73309.0,42750.0,73309.0,3.0303
Australia,2014,2019,5,20.0,21.0,2.0,0.0,3.0,0.0,1.0,33.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,37.0,40.0,36.0,40.0,1.85
Australia,2015,2019,5,21.0,22.0,1.0,0.0,4.0,0.0,1.0,34.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,40.0,42.0,37.0,42.0,1.9048
Australia,2016,2023,4,17.0,18.0,1.0,0.0,4.0,0.0,1.0,27.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,31.0,33.0,29.0,33.0,1.8235
Australia,2017,2023,4,32.0,35.0,1.0,0.0,3.0,0.0,1.0,43.0,6.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,51.0,53.0,44.0,53.0,1.5938
