Country,Market Year,Calendar Year,Month,Beginning Stocks,CY Exp. to U.S.,CY Exports,CY Imp. from U.S.,CY Imports,Crush,Ending Stocks,"Extr. Rate, 999.9999",Feed Waste Dom. Cons.,Food Use Dom. Cons.,Industrial Dom. Cons.,MY Exp. to EU,MY Exports,MY Imp. from EU,MY Imp. from U.S.,MY Imports,Production,Total Distribution,Total Dom. Cons.,Total Supply
WORLD,2014,2024,1,2946.0,95.0,7296.0,49.0,6325.0,35718.0,2593.0,0.4191,71.0,13434.0,732.0,817.0,7412.0,236.0,32.0,6328.0,14968.0,24242.0,14237.0,24242.0
WORLD,2015,2024,1,2593.0,57.0,8824.0,43.0,7229.0,36696.0,2042.0,0.4197,70.0,14154.0,847.0,1497.0,8206.0,224.0,49.0,7323.0,15403.0,25319.0,15071.0,25319.0
WORLD,2016,2024,1,2126.0,101.0,10312.0,36.0,9007.0,43372.0,2619.0,0.4218,75.0,15407.0,880.0,1826.0,10752.0,235.0,30.0,9314.0,18293.0,29733.0,16362.0,29733.0
WORLD,2017,2024,1,2619.0,58.0,10102.0,51.0,8343.0,44201.0,2611.0,0.4201,83.0,16414.0,905.0,1552.0,10324.0,271.0,43.0,9149.0,18569.0,30337.0,17402.0,30337.0
WORLD,2018,2024,1,2611.0,54.0,11369.0,48.0,9612.0,46573.0,2418.0,0.4206,74.0,16979.0,938.0,2044.0,11504.0,255.0,38.0,9714.0,19588.0,31913.0,17991.0,31913.0
WORLD,2019,2024,1,2418.0,56.0,12445.0,49.0,10892.0,49481.0,2922.0,0.4274,83.0,17886.0,938.0,1850.0,13471.0,239.0,43.0,11733.0,21149.0,35300.0,18907.0,35300.0
WORLD,2020,2024,1,2922.0,54.0,11176.0,51.0,9140.0,45041.0,1980.0,0.4211,78.0,17199.0,955.0,1716.0,11327.0,260.0,46.0,9650.0,18967.0,31539.0,18232.0,31539.0
WORLD,2021,2024,1,1980.0,58.0,10433.0,50.0,9409.0,46672.0,2606.0,0.4204,83.0,16528.0,992.0,1960.0,11076.0,189.0,47.0,9685.0,19620.0,31285.0,17603.0,31285.0
WORLD,2022,2024,1,2606.0,58.0,12358.0,52.0,11213.0,51578.0,3119.0,0.4204,88.0,18414.0,1020.0,1880.0,14088.0,202.0,38.0,12442.0,21681.0,36729.0,19522.0,36729.0
WORLD,2023,2024,1,3119.0,58.0,12168.0,52.0,10954.0,51877.0,2858.0,0.4203,96.0,19402.0,1020.0,1925.0,13824.0,195.0,45.0,12277.0,21804.0,37200.0,20518.0,37200.0
