Variable/Year,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Beginning Stocks,33790.0,29250.0,30856.0,24484.0,18350.0,22562.0,20120.0,16643.0,17060.0,13967.0,
Production,20840.0,20284.0,16395.0,19602.0,18092.0,15967.0,15283.0,13596.0,12367.0,12686.0,
MY Imports,102000.0,100846.0,90501.0,99740.0,98532.0,82537.0,94093.0,93495.0,83230.0,78350.0,
Crush,98000.0,95000.0,87900.0,93000.0,91500.0,85000.0,90000.0,88000.0,81500.0,74500.0,
Total Dom. Cons.,120500.0,116500.0,108400.0,112900.0,110400.0,102600.0,106800.0,103500.0,95900.0,87800.0,
MY Exports,100.0,90.0,102.0,70.0,90.0,116.0,134.0,114.0,114.0,143.0,
Ending Stocks,36030.0,33790.0,29250.0,30856.0,24484.0,18350.0,22562.0,20120.0,16643.0,17060.0,
