Variable/Year,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Beginning Stocks,447.0,660.0,562.0,765.0,1278.0,851.0,891.0,1004.0,863.0,328.0,
Production,11850.0,11297.0,12166.0,12482.0,12324.0,11850.0,11455.0,11060.0,11811.0,11416.0,
MY Imports,15800.0,16014.0,16536.0,16504.0,16329.0,17197.0,16992.0,17353.0,19213.0,19623.0,
Crush,15000.0,14300.0,15400.0,15800.0,15600.0,15000.0,14500.0,14000.0,14950.0,14450.0,
Total Dom. Cons.,26892.0,26792.0,27842.0,28342.0,28292.0,27867.0,27717.0,27792.0,30567.0,30142.0,
MY Exports,700.0,732.0,762.0,847.0,874.0,753.0,770.0,734.0,304.0,362.0,
Ending Stocks,505.0,447.0,660.0,562.0,765.0,1278.0,851.0,891.0,1016.0,863.0,
