Variable/Year,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Beginning Stocks,920.0,353.0,1122.0,877.0,637.0,669.0,770.0,757.0,1012.0,1196.0,
Production,17562.0,17024.0,15752.0,16666.0,16397.0,15232.0,16128.0,15770.0,14605.0,13350.0,
MY Imports,400.0,409.0,291.0,1221.0,998.0,783.0,481.0,711.0,586.0,773.0,
Crush,98000.0,95000.0,87900.0,93000.0,91500.0,85000.0,90000.0,88000.0,81500.0,74500.0,
Total Dom. Cons.,17700.0,16750.0,16700.0,17600.0,17000.0,15850.0,16500.0,16350.0,15350.0,14200.0,
MY Exports,200.0,116.0,112.0,42.0,155.0,197.0,210.0,118.0,96.0,107.0,
Ending Stocks,982.0,920.0,353.0,1122.0,877.0,637.0,669.0,770.0,757.0,1012.0,
