Variable/Year,2021,2022,2023
Beginning Stocks,562.0,660.0,447.0
Production,12166.0,11297.0,11850.0
MY Imports,16536.0,16014.0,15800.0
Crush,15400.0,14300.0,15000.0
Total Dom. Cons.,27842.0,26792.0,26892.0
MY Exports,762.0,732.0,700.0
Ending Stocks,660.0,447.0,505.0
