Variable/Year,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Beginning Stocks,4958.0,4793.0,5531.0,5520.0,4904.0,4416.0,4349.0,4136.0,4668.0,4140.0,
Production,61912.0,59121.0,59271.0,59314.0,58551.0,56145.0,55294.0,53947.0,51654.0,49362.0,
MY Imports,10773.0,10653.0,11537.0,11794.0,11543.0,11119.0,9965.0,11254.0,11740.0,10147.0,
Crush,329396.0,313912.0,314503.0,316036.0,312656.0,299194.0,295660.0,288463.0,275825.0,265279.0,
Total Dom. Cons.,60775.0,58084.0,59224.0,58486.0,57094.0,55303.0,54412.0,53536.0,52113.0,47790.0,
MY Exports,11525.0,11525.0,12322.0,12611.0,12384.0,11473.0,10780.0,11452.0,11834.0,11191.0,
Ending Stocks,5343.0,4958.0,4793.0,5531.0,5520.0,4904.0,4416.0,4349.0,4115.0,4668.0,
