Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Argentina,2.0,676.0,1674.0,4703.0,6408.0,4882.0,4816.0,3839.0,9059.0,6100.0
China,78350.0,83230.0,93495.0,94093.0,82537.0,98532.0,99740.0,90501.0,100846.0,102000.0
Egypt,1947.0,1575.0,2114.0,3255.0,3657.0,4956.0,3687.0,4566.0,1992.0,3100.0
Indonesia,2006.0,2274.0,2649.0,2484.0,2623.0,2636.0,2617.0,2307.0,2308.0,2650.0
Japan,3004.0,3186.0,3175.0,3256.0,3314.0,3325.0,3085.0,3455.0,3332.0,3500.0
Mexico,3819.0,4126.0,4479.0,5134.0,5933.0,5743.0,6101.0,5956.0,6442.0,6400.0
Thailand,2411.0,2798.0,3078.0,2482.0,3155.0,3831.0,4157.0,3243.0,3238.0,3900.0
Turkey,2256.0,2376.0,2273.0,2872.0,2411.0,3148.0,2745.0,2949.0,2888.0,3100.0
WORLD,124283.0,133904.0,145215.0,154154.0,145966.0,165294.0,165495.0,155517.0,164841.0,168348.0
