Variable/Year,2021,2022,2023
Beginning Stocks,100263.0,98028.0,101870.0
Production,360410.0,375397.0,398976.0
MY Imports,155517.0,164841.0,168348.0
Crush,314503.0,313912.0,329396.0
Total Dom. Cons.,363944.0,364733.0,383657.0
MY Exports,154218.0,171663.0,170941.0
Ending Stocks,98028.0,101870.0,114596.0
