Variable/Year,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Beginning Stocks,1317.0,1680.0,1560.0,1721.0,1387.0,1111.0,974.0,1562.0,857.0,1260.0,
Production,3060.0,2549.0,2833.0,2600.0,2711.0,2737.0,2619.0,2465.0,2332.0,1839.0,
MY Imports,13800.0,13199.0,14548.0,14786.0,15017.0,14346.0,13915.0,12742.0,15120.0,13914.0,
Crush,15000.0,14300.0,15400.0,15800.0,15600.0,15000.0,14500.0,14000.0,14950.0,14450.0,
Total Dom. Cons.,16590.0,15880.0,16970.0,17360.0,17165.0,16580.0,16070.0,15540.0,16606.0,16040.0,
MY Exports,300.0,231.0,291.0,187.0,229.0,227.0,327.0,255.0,144.0,116.0,
Ending Stocks,1287.0,1317.0,1680.0,1560.0,1721.0,1387.0,1111.0,974.0,1559.0,857.0,
