Variable/Year,2021,2022,2023
Beginning Stocks,784.0,343.0,878.0
Production,69617.0,75240.0,77616.0
MY Imports,56.0,40.0,50.0
Crush,87900.0,95000.0,98000.0
Total Dom. Cons.,69630.0,73950.0,76750.0
MY Exports,484.0,795.0,1000.0
Ending Stocks,343.0,878.0,794.0
