Variable/Year,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Beginning Stocks,878.0,343.0,784.0,981.0,619.0,899.0,694.0,623.0,580.0,513.0,
Production,77616.0,75240.0,69617.0,73656.0,72468.0,67320.0,71280.0,69696.0,64548.0,59004.0,
MY Imports,50.0,40.0,56.0,74.0,51.0,17.0,23.0,61.0,24.0,58.0,
Crush,98000.0,95000.0,87900.0,93000.0,91500.0,85000.0,90000.0,88000.0,81500.0,74500.0,
Total Dom. Cons.,76750.0,73950.0,69630.0,72875.0,71145.0,66685.0,69900.0,68575.0,62620.0,57400.0,
MY Exports,1000.0,795.0,484.0,1052.0,1012.0,932.0,1198.0,1111.0,1909.0,1595.0,
Ending Stocks,794.0,878.0,343.0,784.0,981.0,619.0,899.0,694.0,623.0,580.0,
