Variable/Year,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Beginning Stocks,13695.0,16839.0,16556.0,17004.0,16620.0,16977.0,15429.0,15114.0,15003.0,11684.0,
Production,258592.0,246819.0,246752.0,248351.0,245604.0,234329.0,232832.0,226358.0,216406.0,208685.0,
MY Imports,66697.0,62916.0,67153.0,65360.0,63323.0,64226.0,63693.0,61834.0,63346.0,61339.0,
Crush,329399.0,313915.0,314506.0,316039.0,312661.0,299199.0,295665.0,288473.0,275835.0,265289.0,
Total Dom. Cons.,253732.0,245919.0,244792.0,244725.0,240601.0,230860.0,229182.0,222472.0,213958.0,202067.0,
MY Exports,69836.0,66960.0,68830.0,69434.0,67942.0,68052.0,65795.0,65405.0,65851.0,64638.0,
Ending Stocks,15416.0,13695.0,16839.0,16556.0,17004.0,16620.0,16977.0,15429.0,14946.0,15003.0,
