Variable/Year,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Beginning Stocks,619.0,550.0,440.0,440.0,282.0,245.0,211.0,173.0,198.0,249.0,
Production,2850.0,2717.0,2926.0,3002.0,2964.0,2850.0,2755.0,2660.0,2841.0,2746.0,
MY Imports,400.0,621.0,459.0,493.0,483.0,419.0,288.0,306.0,325.0,253.0,
Crush,15000.0,14300.0,15400.0,15800.0,15600.0,15000.0,14500.0,14000.0,14950.0,14450.0,
Total Dom. Cons.,2505.0,2355.0,2305.0,2430.0,2380.0,2255.0,1935.0,1955.0,2285.0,2040.0,
MY Exports,900.0,914.0,970.0,1065.0,909.0,977.0,1074.0,973.0,915.0,1010.0,
Ending Stocks,464.0,619.0,550.0,440.0,440.0,282.0,245.0,211.0,164.0,198.0,
