Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Algeria,7257.0,8153.0,8414.0,8172.0,7515.0,7145.0,7680.0,8286.0,8141.0,8300.0
Bangladesh,3929.0,4720.0,5556.0,6472.0,5100.0,6800.0,7200.0,6340.0,5120.0,5800.0
Brazil,5869.0,5922.0,7788.0,6702.0,7442.0,7063.0,6359.0,6582.0,4985.0,5300.0
China,1926.0,3476.0,4410.0,3937.0,3145.0,5376.0,10618.0,9568.0,13282.0,12500.0
Egypt,11300.0,11925.0,11181.0,12407.0,12354.0,12811.0,12149.0,11256.0,11221.0,11000.0
Indonesia,7477.0,10045.0,10190.0,10763.0,10934.0,10586.0,9995.0,11229.0,9446.0,10500.0
Morocco,4171.0,4496.0,5344.0,3672.0,3724.0,4879.0,5191.0,4726.0,5770.0,6500.0
Philippines,5054.0,4919.0,5708.0,6059.0,7570.0,7065.0,6105.0,6886.0,5743.0,5900.0
Turkey,5875.0,4116.0,4736.0,6092.0,6515.0,11087.0,8051.0,9555.0,12500.0,10000.0
