Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Argentina,18448.0,21679.0,22951.0,24198.0,32879.0,39917.0,36544.0,38853.0,25740.0,34000.0
Brazil,21909.0,35382.0,19794.0,25116.0,38773.0,34137.0,27492.0,31921.0,53285.0,58000.0
Paraguay,3012.0,2662.0,1757.0,1476.0,2559.0,2081.0,2563.0,3187.0,3968.0,3500.0
Russia,3213.0,4691.0,5598.0,5532.0,2770.0,4072.0,3989.0,4000.0,5900.0,5300.0
South Africa,746.0,759.0,1816.0,2361.0,1183.0,2456.0,2751.0,3830.0,3616.0,3400.0
Ukraine,19661.0,16595.0,21334.0,18036.0,30321.0,28929.0,23864.0,26980.0,27122.0,21000.0
