Country,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Algeria,4400.0,4069.0,3273.0,4215.0,5133.0,4831.0,4046.0,3989.0,4329.0,4116.0
China,23000.0,18711.0,21884.0,29512.0,7580.0,4483.0,3456.0,2464.0,3174.0,5516.0
Colombia,6500.0,6343.0,6512.0,5795.0,5976.0,6048.0,5201.0,4754.0,4458.0,4496.0
Egypt,8500.0,6215.0,9763.0,9633.0,10432.0,9367.0,9464.0,8773.0,8722.0,7839.0
Iran,8600.0,6400.0,8600.0,7200.0,6800.0,9000.0,8900.0,7800.0,6600.0,6100.0
Japan,15500.0,14927.0,15003.0,15471.0,15877.0,16040.0,15668.0,15169.0,15204.0,14657.0
Mexico,19600.0,19359.0,17572.0,16498.0,16526.0,16658.0,16129.0,14614.0,13957.0,11341.0
Saudi Arabia,4900.0,3300.0,4071.0,3017.0,4511.0,3670.0,3983.0,3446.0,3583.0,2904.0
Vietnam,11000.0,9500.0,9100.0,11200.0,12000.0,10900.0,9400.0,8500.0,8100.0,6800.0
