Country,Market Year,Calendar Year,Month,Beginning Stocks,CY Exp. to U.S.,CY Exports,CY Imp. from U.S.,CY Imports,Crush,Ending Stocks,"Extr. Rate, 999.9999",Feed Waste Dom. Cons.,Food Use Dom. Cons.,Industrial Dom. Cons.,MY Exp. to EU,MY Exports,MY Imp. from EU,MY Imp. from U.S.,MY Imports,Production,SME,Total Distribution,Total Dom. Cons.,Total Supply
WORLD,1964,2024,1,175.0,0.0,2833.0,1791.0,2867.0,21069.0,182.0,0.7883,15671.0,0.0,1088.0,0.0,2721.0,0.0,0.0,2878.0,16609.0,15671.0,19662.0,16759.0,19662.0
WORLD,1965,2024,1,182.0,0.0,3232.0,2248.0,3518.0,23238.0,236.0,0.7983,17787.0,0.0,896.0,0.0,3342.0,0.0,0.0,3527.0,18552.0,17787.0,22261.0,18683.0,22261.0
WORLD,1966,2024,1,236.0,0.0,3428.0,2407.0,3692.0,24931.0,215.0,0.8003,19182.0,0.0,1118.0,0.0,3373.0,0.0,0.0,3699.0,19953.0,19182.0,23888.0,20300.0,23888.0
WORLD,1967,2024,1,215.0,0.0,3692.0,2544.0,3915.0,25619.0,253.0,0.7935,19407.0,0.0,1164.0,0.0,3634.0,0.0,0.0,3914.0,20329.0,19407.0,24458.0,20571.0,24458.0
WORLD,1968,2024,1,253.0,0.0,4213.0,2833.0,4526.0,27675.0,291.0,0.8,21454.0,0.0,1196.0,0.0,3964.0,0.0,0.0,4513.0,22139.0,21454.0,26905.0,22650.0,26905.0
WORLD,1969,2024,1,291.0,0.0,5148.0,3509.0,5656.0,33892.0,323.0,0.7959,26281.0,0.0,1122.0,0.0,5148.0,0.0,0.0,5653.0,26973.0,26281.0,32917.0,27446.0,32917.0
WORLD,1970,2024,1,323.0,0.0,5685.0,3947.0,6625.0,35277.0,324.0,0.7934,27666.0,0.0,1229.0,0.0,5729.0,0.0,0.0,6637.0,27988.0,27666.0,34948.0,28895.0,34948.0
WORLD,1971,2024,1,324.0,0.0,5510.0,3798.0,7646.0,35250.0,331.0,0.7913,28955.0,0.0,1191.0,0.0,5382.0,0.0,0.0,7641.0,27894.0,28955.0,35859.0,30146.0,35859.0
WORLD,1972,2024,1,331.0,0.0,6873.0,4355.0,8549.0,35434.0,517.0,0.7818,28445.0,0.0,864.0,0.0,6769.0,0.0,0.0,8562.0,27702.0,28445.0,36595.0,29309.0,36595.0
WORLD,1973,2024,1,517.0,0.0,7559.0,4569.0,9224.0,41509.0,1005.0,0.798,32965.0,0.0,1205.0,0.0,7660.0,0.0,0.0,9192.0,33126.0,32965.0,42835.0,34170.0,42835.0
WORLD,1974,2024,1,1005.0,0.0,5899.0,3692.0,8953.0,37454.0,652.0,0.7954,31990.0,0.0,1047.0,0.0,6040.0,0.0,0.0,8933.0,29791.0,31990.0,39729.0,33037.0,39729.0
WORLD,1975,2024,1,652.0,0.0,7041.0,4616.0,10931.0,45002.0,701.0,0.7978,38787.0,0.0,1140.0,0.0,6853.0,0.0,0.0,10928.0,35901.0,38787.0,47481.0,39927.0,47481.0
WORLD,1976,2024,1,701.0,0.0,6249.0,4134.0,11741.0,43839.0,553.0,0.7783,38590.0,0.0,1156.0,0.0,6256.0,0.0,0.0,11733.0,34121.0,38590.0,46555.0,39746.0,46555.0
WORLD,1977,2024,1,553.0,0.0,14897.0,5704.0,14593.0,60594.0,1306.0,0.7942,45793.0,0.0,1257.0,5810.0,15357.0,0.0,0.0,15038.0,48122.0,45793.0,63713.0,47050.0,63713.0
WORLD,1978,2024,1,1306.0,0.0,15307.0,5896.0,15678.0,65331.0,1597.0,0.7923,50347.0,0.0,1259.0,5100.0,15499.0,0.0,27.0,15632.0,51764.0,50347.0,68702.0,51606.0,68702.0
WORLD,1979,2024,1,1666.0,0.0,18116.0,6761.0,17672.0,71578.0,1976.0,0.7958,55896.0,29.0,1274.0,5205.0,17333.0,0.0,0.0,17877.0,56965.0,55896.0,76508.0,57199.0,76508.0
WORLD,1980,2024,1,1976.0,0.0,20018.0,6011.0,19609.0,69932.0,2799.0,0.7905,53117.0,35.0,1140.0,7120.0,18863.0,0.0,8.0,18699.0,55279.0,53117.0,75954.0,54292.0,75954.0
WORLD,1981,2024,1,2799.0,0.0,20888.0,6209.0,20654.0,72249.0,2343.0,0.7924,56917.0,67.0,891.0,7890.0,20759.0,0.0,25.0,20930.0,57248.0,56917.0,80977.0,57875.0,80977.0
WORLD,1982,2024,1,2343.0,0.0,23427.0,6789.0,22890.0,76082.0,3083.0,0.7948,58785.0,100.0,571.0,7300.0,23230.0,0.0,12.0,22955.0,60471.0,58785.0,85769.0,59456.0,85769.0
WORLD,1983,2024,1,3083.0,0.0,21116.0,5189.0,21676.0,71119.0,3123.0,0.7815,55943.0,108.0,440.0,8410.0,21344.0,0.0,602.0,22293.0,55582.0,55943.0,80958.0,56491.0,80958.0
WORLD,1984,2024,1,3123.0,0.0,22700.0,4901.0,23925.0,73886.0,2887.0,0.7891,58643.0,152.0,300.0,10200.0,22217.0,0.0,639.0,22775.0,58301.0,58643.0,84199.0,59095.0,84199.0
WORLD,1985,2024,1,2887.0,0.0,22966.0,5886.0,23536.0,77314.0,3145.0,0.7896,61055.0,169.0,300.0,9320.0,23063.0,0.0,444.0,23796.0,61049.0,61055.0,87732.0,61524.0,87732.0
WORLD,1986,2024,1,3145.0,0.0,25550.0,6321.0,26130.0,85432.0,3645.0,0.7882,66888.0,164.0,300.0,9827.0,25911.0,23.0,1099.0,26422.0,67341.0,66888.0,96908.0,67352.0,96908.0
WORLD,1987,2024,1,3645.0,10.0,27167.0,5985.0,24635.0,83700.0,4398.0,0.7942,65703.0,190.0,354.0,11234.0,24507.0,2604.0,3370.0,25030.0,66477.0,65703.0,95152.0,66247.0,95152.0
WORLD,1988,2024,1,4398.0,10.0,26660.0,3686.0,26029.0,80807.0,3750.0,0.789,65099.0,187.0,338.0,13591.0,24974.0,3828.0,2650.0,26195.0,63755.0,65099.0,94348.0,65624.0,94348.0
WORLD,1989,2024,1,3750.0,28.0,26151.0,3293.0,25620.0,87194.0,4746.0,0.7962,68066.0,165.0,332.0,14471.0,25302.0,3238.0,2911.0,25438.0,69423.0,68066.0,98611.0,68563.0,98611.0
