Country,Market Year,Calendar Year,Month,Beginning Stocks,CY Exp. to U.S.,CY Exports,CY Imp. from U.S.,CY Imports,Crush,Ending Stocks,"Extr. Rate, 999.9999",Feed Waste Dom. Cons.,Food Use Dom. Cons.,Industrial Dom. Cons.,MY Exp. to EU,MY Exports,MY Imp. from EU,MY Imp. from U.S.,MY Imports,Production,SME,Total Distribution,Total Dom. Cons.,Total Supply
WORLD,1964,2024,1,52.0,0.0,404.0,0.0,480.0,2916.0,54.0,0.3409,1024.0,0.0,0.0,0.0,424.0,0.0,0.0,481.0,994.0,462.336,1526.0,1048.0,1527.0
WORLD,1965,2024,1,54.0,0.0,477.0,0.0,520.0,3151.0,57.0,0.3418,1067.0,0.0,0.0,0.0,496.0,0.0,0.0,520.0,1077.0,481.7505,1651.0,1098.0,1651.0
WORLD,1966,2024,1,57.0,0.0,459.0,0.0,523.0,2983.0,51.0,0.3416,1041.0,0.0,0.0,0.0,466.0,0.0,0.0,523.0,1019.0,470.0115,1599.0,1082.0,1599.0
WORLD,1967,2024,1,51.0,0.0,456.0,0.0,512.0,2907.0,38.0,0.3381,1002.0,0.0,0.0,0.0,462.0,0.0,0.0,512.0,983.0,452.403,1546.0,1046.0,1546.0
WORLD,1968,2024,1,38.0,0.0,455.0,0.0,532.0,2907.0,39.0,0.344,1027.0,0.0,0.0,0.0,464.0,0.0,0.0,532.0,1000.0,463.6905,1570.0,1067.0,1570.0
WORLD,1969,2024,1,39.0,0.0,313.0,0.0,540.0,2966.0,33.0,0.3388,969.0,0.0,0.0,0.0,530.0,0.0,0.0,540.0,1005.0,437.5035,1584.0,1021.0,1584.0
WORLD,1970,2024,1,33.0,0.0,355.0,0.0,642.0,3332.0,24.0,0.3367,1093.0,27.0,15.0,0.0,589.0,0.0,0.0,642.0,1122.0,493.4895,1797.0,1184.0,1797.0
WORLD,1971,2024,1,24.0,0.0,393.0,0.0,739.0,3902.0,27.0,0.3368,1258.0,26.0,15.0,0.0,691.0,0.0,0.0,739.0,1314.0,567.987,2077.0,1359.0,2077.0
WORLD,1972,2024,1,27.0,0.0,349.0,0.0,752.0,3364.0,67.0,0.3478,1192.0,29.0,15.0,0.0,588.0,0.0,0.0,752.0,1170.0,538.188,1949.0,1294.0,1949.0
WORLD,1973,2024,1,67.0,0.0,324.0,0.0,600.0,2756.0,113.0,0.3487,920.0,0.0,0.0,0.0,551.0,0.0,0.0,600.0,961.0,415.38,1628.0,964.0,1628.0
WORLD,1974,2024,1,113.0,0.0,344.0,0.0,642.0,3758.0,141.0,0.3486,1256.0,0.0,0.0,0.0,660.0,0.0,0.0,642.0,1310.0,567.084,2065.0,1264.0,2065.0
WORLD,1975,2024,1,141.0,0.0,595.0,0.0,996.0,4652.0,104.0,0.3459,1671.0,0.0,0.0,0.0,958.0,0.0,0.0,997.0,1609.0,754.4565,2747.0,1685.0,2747.0
WORLD,1976,2024,1,104.0,0.0,485.0,0.0,793.0,4229.0,114.0,0.3476,1419.0,0.0,0.0,0.0,822.0,0.0,0.0,795.0,1470.0,640.6785,2369.0,1433.0,2369.0
WORLD,1977,2024,1,114.0,0.0,584.0,0.0,901.0,4415.0,114.0,0.3456,1499.0,0.0,0.0,0.0,924.0,0.0,0.0,902.0,1526.0,676.7985,2542.0,1504.0,2542.0
WORLD,1978,2024,1,114.0,0.0,596.0,0.0,937.0,3676.0,55.0,0.3452,1343.0,0.0,0.0,0.0,927.0,0.0,0.0,942.0,1269.0,606.3645,2325.0,1343.0,2325.0
WORLD,1979,2024,1,55.0,0.0,946.0,0.0,989.0,3840.0,47.0,0.3557,1414.0,3.0,0.0,0.0,946.0,0.0,0.0,989.0,1366.0,638.421,2410.0,1417.0,2410.0
WORLD,1980,2024,1,47.0,0.0,1023.0,0.0,1031.0,4224.0,54.0,0.3561,1500.0,5.0,0.0,0.0,1023.0,0.0,0.0,1031.0,1504.0,677.25,2582.0,1505.0,2582.0
WORLD,1981,2024,1,54.0,0.0,1030.0,0.0,1066.0,4064.0,46.0,0.3538,1477.0,5.0,0.0,0.0,1030.0,0.0,0.0,1066.0,1438.0,666.8655,2558.0,1482.0,2558.0
WORLD,1982,2024,1,46.0,0.0,999.0,0.0,967.0,4029.0,79.0,0.3552,1361.0,5.0,0.0,0.0,999.0,0.0,0.0,967.0,1431.0,614.4915,2444.0,1366.0,2444.0
WORLD,1983,2024,1,79.0,0.0,598.0,0.0,691.0,3192.0,220.0,0.3578,1089.0,5.0,0.0,0.0,598.0,0.0,0.0,691.0,1142.0,491.6835,1912.0,1094.0,1912.0
WORLD,1984,2024,1,220.0,0.0,940.0,0.0,918.0,3796.0,127.0,0.3546,1413.0,5.0,0.0,0.0,939.0,0.0,0.0,918.0,1346.0,637.9695,2484.0,1418.0,2484.0
